Tamaño entrenamiento,MSE Entrenamiento,MSE Validación,STD Validación
187,125044895.08413827,1130012200.2141414,252608099.16206667
375,276213585.11508286,1071517634.9310535,248002262.71331537
562,416187518.5088275,957195261.2976913,377583796.8103668
750,454899959.6602602,837338504.5360914,283440257.41146827
937,486730907.68243325,817402261.992869,283968412.32117325
1125,519108132.0044667,804838003.9931178,312670635.71035546
1312,566439031.6774644,797089116.0342282,302080454.6401957
1500,583291576.2131144,785912338.4829032,302844269.4523997
1687,591749470.3430693,775145206.573427,313129125.91951185
1875,588225202.911916,763455864.3076979,315202396.22192615
