Tamaño entrenamiento,MSE Entrenamiento,STD Entrenamiento,MSE Validación,STD Validación
187,377286750.70017034,36036186.932110876,1199483306.1148973,227074348.3370126
375,677478943.0174205,197879863.06817827,1195185655.1212742,212949380.43259972
562,715179883.6143987,150935278.40220875,1023489847.1556298,269389415.1470016
750,744158241.2960031,162203276.94760537,962465808.5529203,350173681.7909916
937,694952456.7857138,108425484.49797142,942168599.1843659,365762672.714883
1125,693019932.258946,109718655.43757841,930903137.9163347,326431931.575626
1312,726392666.4635094,117485293.95991896,878314629.3945,290753094.21182144
1500,718456578.269177,128426204.6939449,877954554.0781944,298672813.3026613
1687,673088865.1484039,72392273.71778935,853865367.7739764,355655842.5828899
1875,678466790.4290383,92458519.9813739,834088987.0380752,370092537.6923303
